ConjLemma,Aux_Conj,TopHeadLemma,Aux_TopHead,TopHeadDeprel,File
guftan,istēd,dādan,istēd,ccomp,DD-K35_mptf.conllu
āstardan,ēstēd,ēstādan,,acl:relcl,DD-K35_mptf.conllu
payrāstan,,kirdan,ēstēd,root,DD-K35_mptf.conllu
kirdan,ēstēd,wārīdan,,advcl,DD-K35_mptf.conllu
kirdan,hēnd,winnārdan,būd,root,DMX-L19_mptf.conllu
rāyēnīdan,,frāxīh xwāstan|xwāstan,,root,Dk5-B_mptf.conllu
payrāstan,,tāšīdan,ēstād,root,Dk5-B_mptf.conllu
padīriftan,ēstēd,wizīdan,,acl:relcl,Dk5-B_mptf.conllu
gumēxtan,,gumēxtan,ēstēd,csubj,Dk5-B_mptf.conllu
fragānēnīdan,,kirdan,,root,Dk7-B_mptf.conllu
kirdan,,padīriftan,,root,Dk7-B_mptf.conllu
winnārdan,,madan1,,root,Dk7-B_mptf.conllu
paywastan,hēnd,tuhīgīh,,advcl,GBd-TD1_mptf.conllu
raftan1,hēnd,ēstādan,,root,GBd-TD1_mptf.conllu
paywastan,,paywastan,,advcl,GBd-TD1_mptf.conllu
paywastan,,paywastan,,advcl,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,ast,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,parataxis,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,root,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,advcl,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,advcl,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,advcl,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,advcl,GBd-TD1_mptf.conllu
madan1,,madan1,hēnd,advcl,GBd-TD1_mptf.conllu
ēstādan,,ēstādan,hēnd,root,GBd-TD1_mptf.conllu
ēstādan,,ēstādan,hēnd,root,GBd-TD1_mptf.conllu
ēstādan,,ēstādan,hēnd,root,GBd-TD1_mptf.conllu
ēstādan,,ēstādan,hēnd,root,GBd-TD1_mptf.conllu
ēstādan,,ēstādan,hēnd,root,GBd-TD1_mptf.conllu
