File,ConjLemma,Aux_Conj,TopHeadLemma,Aux_TopHead,TopHeadDeprel,conj_to_the_conj
DD-K35_mptf.conllu,guftan,ēstādan,pursīdan,,root,0
Dk5-B_mptf.conllu,padīriftan,ēstādan,dēn,,obl,0
Dk5-B_mptf.conllu,gumēxtan,,nigerīhistan,,advcl,0
GBd-TD1_mptf.conllu,paywastan,,čim,,obl,0
GBd-TD1_mptf.conllu,paywastan,,čim,,obl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,h-,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,madan1,h-,advcl,0
GBd-TD1_mptf.conllu,madan1,,bastan,h-,root,0
GBd-TD1_mptf.conllu,madan1,,bastan,h-,root,0
GBd-TD1_mptf.conllu,madan1,,bastan,h-,root,0
GBd-TD1_mptf.conllu,madan1,,bastan,h-,root,0
GBd-TD1_mptf.conllu,madan1,,bastan,h-,root,0
GBd-TD1_mptf.conllu,bastan,,dādan,,xcomp,0
GBd-TD1_mptf.conllu,bastan,,dādan,,xcomp,0
GBd-TD1_mptf.conllu,handāxtan,h-,guftan,ēstādan,root,0
GBd-TD1_mptf.conllu,madan1,,āb,,nsubj,0
MYF-K20_mptf.conllu,xwārīdan,ēstādan,mardōm,h-,root,0
MYF-K20_mptf.conllu,dādan,ēstādan,mardōm,,root,0
MYF-K20_mptf.conllu,kirdan,ēstādan,mardōm,,root,0
NM-K35_mptf.conllu,burzīdan,,būdan,,root,0
NM-K35_mptf.conllu,gumārdan,,yōǰdāsrgar,,obj,0
NM-TD4a_mptf.conllu,gumārdan,,yōǰdāsrgar,,obj,0
PY-Pt4_mptf.conllu,tāšīdan,h-,garzīdan,,root,0
WZ_K35.conllu,baxtan,h-,paydāg,,root,0
ZWY-K20_mptf.conllu,srūdan,ēstādan,ōwōn,,root,0
ZWY-K43a_mptf.conllu,srūdan,ēstādan,ōwōn,,root,0
