Subject UPOS: DET, Subject Form: ān | Newpart: mpcd-nm2_ch2_sec3 | Sentence id: nm-k35:78 | Text: ān ī =tān ēdōn nimūd čiyōn ka spurrīg ēstē pad paydāgīh hē
Subject UPOS: DET, Subject Form: ēn | Newpart: mpcd-nm2_ch4_sec4 | Sentence id: nm-k35:128 | Text: u =m ēn =iz abēr škeft kū ka =tān ēn nē āmārēnīd kū ka yōǰdāsrgar nē hē ayābihē ēg =iš xwad ud abāyē kirdan
Subject UPOS: VERB, Subject Form: dāštan | Newpart: mpcd-nm3_ch1_sec4 | Sentence id: nm-k35:249 | Text: ud ham ēwēnag rēmanān kē pad ēč frēzwānīg čārag pad baršnūm ī čiyōn nibišt šōyišn nē tuwān abar ān kū čiyōn čārag ī padiš ayābēm pad baršnūm ī čiyōn nibišt šōyam menišn ōstīgān dāštan madan ō čār pad baršnūm ī čiyōn nibišt šōyam frēzwānīg
Subject UPOS: ADJ, Subject Form: nōg | Newpart: mpcd-nm2_ch1_sec2 | Sentence id: nm-k35:38 | Text: u =m az kišwar arz ud druyistīh ud drōdōmandīh ī hērbed ī xwadāy andar yazadān spāsdārīh abzūdan be abāyist hē ī ka =tān āgāhīh ī xwēš ast nibišt hē čē =tān nibēsišn ī nāmag nē ōwōn čiyōn dūrān kē gōkanīg nibēsēnd bē čiyōn nazdīkān kē , menēnd kū nōg nōg hamwār āgāhīh āmēzē
Subject UPOS: DET, Subject Form: ān | Newpart: mpcd-nm2_ch1_sec3 | Sentence id: nm-k35:39 | Text: ān =iz ī =tān nibišt framūd pad nišānag ōwōn nihuftag ī =m X wizēhišn awiš nē čiyōn , gōkān mayān nāmag paydāg
Subject UPOS: VERB, Subject Form: wizīrēnīdan | Newpart: mpcd-nm2_ch1_sec9 | Sentence id: nm-k35:49 | Text: bē pad uskār ī ham pāšomān X ēnyā wizīrēnīdan nē xūb
Subject UPOS: DET, Subject Form: ēn | Newpart: mpcd-nm2_ch1_sec14 | Sentence id: nm-k35:59 | Text: ēn ī ašmāh az ān ī ōy kird wasyār garādar
Subject UPOS: DET, Subject Form: ēn | Newpart: mpcd-nm2_ch1_sec15 | Sentence id: nm-k35:64 | Text: u =m ēn =iz abēr ka =tān xwēš dēnāgāhīh ud ruwānbōzāgīh ōwōn zūr pad ān hangōšīdag ī ōy tanbuzišk kē ka =šān dandāndard zad rāy pursīd ēg =iš pāsox dahēd kū bē kan
Subject UPOS: DET, Subject Form: ān | Newpart: mpcd-nm2_ch1_sec17 | Sentence id: nm-k35:70 | Text: ud abdom kas =iz nē hamē padīrēd ǰud ān ī dušdānāg druwand
Subject UPOS: DET, Subject Form: ēn | Newpart: mpcd-nm2_ch3_sec1 | Sentence id: nm-k35:98 | Text: ēn =iz abar dušxwār ī =tān andar nibišt tēzkāmīh ud ruzdīh ī ō nōg dād ud nām ud ārzōg ī paygāmbarīhā dādnihišnīh abar paydāgīhēd čiyōn ān =iz ī =tān abar gōwišn ī az se čāštag xwurdagčīnīh abar dād ī nōg tēzbrīnīh ud kird
Subject UPOS: VERB, Subject Form: dāštan | Newpart: mpcd-nm3_ch1_sec4 | Sentence id: nm-td4a:31 | Text: ud ham ēwēnag ī rēmanān kē pad ēč frēzwānīg čārag pad baršnūm čiyōn nibišt šustan nē tuwān abar ān kū čiyōn čārag X X X X X X X X X X X X ī padiš ayābēm pad baršnūm čiyōn nibišt šōyam menišn ōstīgān dāštan madan ō čār ī pad baršnūm ī čiyōn [nibišt] šōyam frēzwānīg
Subject UPOS: ADJ, Subject Form: ziyānag | Newpart: raf_ch12_sec2 | Sentence id: raf-td2:81 | Text: ka šōy pad daštānmāh pad zanīh wizārdan hamdādestān ud ziyānag nē hamdādestān wināh ī daštānmāh ziyānag ō bun
Subject UPOS: DET, Subject Form: ēč | Newpart: mpcd-nm2_ch4_sec3 | Sentence id: nm-k35:125 | Text: agar az nihād xīr ēw ēg =iš ēn ēč nē hamē abāyēd
Subject UPOS: DET, Subject Form: ēn | Newpart: mpcd-nm2_ch4_sec4 | Sentence id: nm-k35:128 | Text: u =m ēn =iz abēr škeft kū ka =tān ēn nē āmārēnīd kū ka yōǰdāsrgar nē hē ayābihē ēg =iš xwad ud abāyē kirdan
Subject UPOS: SCONJ, Subject Form: kē | Newpart: mpcd-nm1_ch2_sec1 | Sentence id: nm-k35:15 | Text: čiyōn ān =iz hangōšīdag ī andar dēn gōwēd kū ahlāyīh menēd pad ēd dārēd , kū =m kirbag ēw kird ud drōzišn windēd kū =š wināh ō būn bawēd kē ō nasāōmand āb bēzōhr frāz barēd ayāb kē abar nihuftag tārīk bēzōhr frāz barēd andar šab
Subject UPOS: VERB, Subject Form: dāštan | Newpart: mpcd-nm3_ch1_sec4 | Sentence id: nm-k35:249 | Text: ud ham ēwēnag rēmanān kē pad ēč frēzwānīg čārag pad baršnūm ī čiyōn nibišt šōyišn nē tuwān abar ān kū čiyōn čārag ī padiš ayābēm pad baršnūm ī čiyōn nibišt šōyam menišn ōstīgān dāštan madan ō čār pad baršnūm ī čiyōn nibišt šōyam frēzwānīg
Subject UPOS: ADJ, Subject Form: nōg | Newpart: mpcd-nm2_ch1_sec2 | Sentence id: nm-k35:38 | Text: u =m az kišwar arz ud druyistīh ud drōdōmandīh ī hērbed ī xwadāy andar yazadān spāsdārīh abzūdan be abāyist hē ī ka =tān āgāhīh ī xwēš ast nibišt hē čē =tān nibēsišn ī nāmag nē ōwōn čiyōn dūrān kē gōkanīg nibēsēnd bē čiyōn nazdīkān kē , menēnd kū nōg nōg hamwār āgāhīh āmēzē
