Subject UPOS: ADJ, Subject Form: pahlom | Newpart: dk7_ch1_sec5 | Sentence id: dk7-b:11 | Text: ud ān ī abdom abar bōxtagīh ī čār ī mardōm pahlom ēn kū gaiiąn kunišn
Subject UPOS: DET, Subject Form: any | Newpart: dk7_ch1_sec43 | Sentence id: dk7-b:120 | Text: ud any =iz būd hēnd pēš az zarduxšt wāxšwar ī andar dēn mahist aguft nām
Subject UPOS: DET, Subject Form: ān | Newpart: dk7_ch1_sec46 | Sentence id: dk7-b:126 | Text: u =š ān ī az zāyišn ī ōy ī warzāwend frāz madan ī =š ō ohrmazd hampursagīh ,
Subject UPOS: DET, Subject Form: ēn | Newpart: dk7_ch1_sec6 | Sentence id: dk7-b:13 | Text: mardōmān az paywand ī gayōmard tis =ēw ēn weh ka kār ud kirbag kunēnd
Subject UPOS: DET, Subject Form: ān | Newpart: dk7_ch1_sec51 | Sentence id: dk7-b:131 | Text: ud u =š ān ī pas =iz az ān tā hazangrōzim ī zarduxštān sar rasišn ī ušēdar ,
Subject UPOS: DET, Subject Form: ān | Newpart: dk7_ch1_sec52 | Sentence id: dk7-b:132 | Text: u =š ān ī pas =iz az ān tā hazangrōzim ī ušēdarān rasišn ī ušēdarmāh ,
Subject UPOS: DET, Subject Form: ān | Newpart: dk7_ch1_sec53 | Sentence id: dk7-b:133 | Text: u =š ān ī pas =iz az ān tā hazangrōzim ī ušēdarmāhān sar ud rasišn ī rasišn ī sōšyāns ,
Subject UPOS: DET, Subject Form: ān | Newpart: dk7_ch1_sec54 | Sentence id: dk7-b:134 | Text: u =š ān az rasišn ī sūdōmand pērōzgar abd frašegird tan ī pasēn
Subject UPOS: DET, Subject Form: ān | Newpart: dk7_ch1_sec6 | Sentence id: dk7-b:16 | Text: ud ast ān kār kē dādār dahišn aw =iš dād ,
Subject UPOS: DET, Subject Form: ēn | Newpart: dk7_ch1_sec7 | Sentence id: dk7-b:17 | Text: ud ēn =iz az wehdēn paydāg kū pad ān ī gōwišnīh aršuxt gayōmard ō ān ī amahraspandān huaxwīh mad kū garōdmānīg ,
Subject UPOS: ADV, Subject Form: haftom | Newpart: dk7_ch1_sec2 | Sentence id: dk7-b:2 | Text: haftom abar abdīh ī dēn mazdēsn mahist aštag spitāmān zarduxšt ān čē ōy warzāwand pad ohrmazd aštagīh u =š dēn pad gōwišn ohrmazd būd andar wištāspšāh kišwarīgān afrīgānīhistan az nigēz ī wehdēn
