Sentence ID,File Name,Token ID,Form,Lemma,UPOS,XPOS,Features,Head,Deprel,Deps,Misc
256,DD-K35.csv,11,xwābartom,xwābartom,NOUN,Animacy=Anim|Degree=Sup,Animacy=Anim|Degree=Sup,_,_,_,_
260,DD-TD4a.csv,_,xwābartom,xwābartom,NOUN,Animacy=Anim|Degree=Sup,Animacy=Anim|Degree=Sup,_,_,_,_
28,DMX-K43a.csv,16,wehān,weh,NOUN,Animacy=Hum|Degree=Cmp|Number=Plur,Animacy=Hum|Degree=Cmp|Number=Plur,_,_,_,_
57,DMX-K43a.csv,4,wehān,weh,NOUN,Animacy=Hum|Degree=Cmp|Number=Plur,Animacy=Hum|Degree=Cmp|Number=Plur,_,_,_,_
97,DMX-K43a.csv,4,wehān,weh,NOUN,Animacy=Hum|Degree=Cmp|Number=Plur,Animacy=Hum|Degree=Cmp|Number=Plur,_,_,_,_
97,DMX-K43a.csv,8,wattarān,wattar,NOUN,Animacy=Hum|Degree=Cmp|Number=Plur,Animacy=Hum|Degree=Cmp|Number=Plur,_,_,_,_
98,DMX-K43a.csv,3,wattarān,wattar,NOUN,Animacy=Hum|Degree=Cmp|Number=Plur,Animacy=Hum|Degree=Cmp|Number=Plur,_,_,_,_
194,DMX-K43a.csv,49,wehān,weh,NOUN,Animacy=Hum|Degree=Cmp|Number=Plur,Animacy=Hum|Degree=Cmp|Number=Plur,_,_,_,_
201,DMX-K43a.csv,12,wehān,weh,NOUN,Animacy=Hum|Degree=Cmp|Number=Plur,Animacy=Hum|Degree=Cmp|Number=Plur,_,_,_,_
203,DMX-K43a.csv,8,wattarān,wattar,NOUN,Animacy=Hum|Degree=Cmp|Number=Plur,Animacy=Hum|Degree=Cmp|Number=Plur,_,_,_,_
203,DMX-K43a.csv,12,wehān,weh,NOUN,Animacy=Hum|Degree=Cmp|Number=Plur,Animacy=Hum|Degree=Cmp|Number=Plur,_,_,_,_
204,DMX-K43a.csv,12,wehān,weh,NOUN,Animacy=Hum|Degree=Cmp|Number=Plur,Animacy=Hum|Degree=Cmp|Number=Plur,_,_,_,_
214,DMX-K43a.csv,6,wehān,weh,NOUN,Animacy=Hum|Degree=Cmp,Animacy=Hum|Degree=Cmp,_,_,_,_
214,DMX-K43a.csv,11,wattarān,wattar,NOUN,Animacy=Hum|Degree=Cmp|Number=Plur,Animacy=Hum|Degree=Cmp|Number=Plur,_,_,_,_
