Transitivity,Lemma,Count,Ratio
transitive,pursīdan,240,0.022992910519256563
transitive,guftan,1950,0.18681739796895958
transitive,paydāgēnīdan,47,0.004502778310021077
transitive,dādan,1469,0.1407357731366162
transitive,kirdan,519,0.049722168997892315
transitive,nibištan,388,0.037171872006131444
transitive,hērbedzād,3,0.00028741138149070703
transitive,dīdan,280,0.02682506227246599
transitive,passandīdan,13,0.0012454493197930638
transitive,druyist kirdan|kirdan,1,9.580379383023568e-05
transitive,xwandan,44,0.00421536692853037
transitive,wizīrēnīdan,32,0.003065721402567542
transitive,gōwizārēnīdan,2,0.00019160758766047136
transitive,wuspurrwindēnīdan,2,0.00019160758766047136
transitive,āfrīnēnīdan,8,0.0007664303506418854
transitive,framūdan,126,0.012071278022609695
transitive,nimūdan,74,0.0070894807434374405
transitive,ayāftan,55,0.005269208660662962
transitive,nigerīdan,39,0.003736347959379191
transitive,hangirdēnīdan,3,0.00028741138149070703
transitive,dāštan,558,0.05345851695727151
transitive,wirāstan,40,0.003832151753209427
transitive,xwāstan,134,0.01283770837325158
transitive,āfurrīdan,5,0.00047901896915117836
transitive,passāxtan,11,0.0010538417321325924
transitive,paywastan,29,0.0027783100210768347
transitive,rāyēnīdan,14,0.0013412531136232995
transitive,niwēyēnīdan,2,0.00019160758766047136
transitive,payrāstan,19,0.001820272082774478
transitive,griftan,147,0.014083157693044645
transitive,tāštan,1,9.580379383023568e-05
transitive,waxtan,6,0.0005748227629814141
transitive,andar waxtan|waxtan,2,0.00019160758766047136
transitive,rawāgēnīdan,26,0.0024908986395861276
transitive,ōšmurdan,19,0.001820272082774478
transitive,andarzēnīdan,17,0.0016286644951140066
transitive,wizārdan2,16,0.001532860701283771
transitive,kirdan|pādifrāh kirdan,2,0.00019160758766047136
transitive,warzīdan,42,0.004023759340869898
transitive,parwardan,14,0.0013412531136232995
transitive,hambārdan,3,0.00028741138149070703
transitive,mānistan,2,0.00019160758766047136
transitive,āstārdan,2,0.00019160758766047136
transitive,zāyistan,2,0.00019160758766047136
transitive,abar burdan|burdan,10,0.0009580379383023567
transitive,sōxt,4,0.0003832151753209427
transitive,tōxtan,4,0.0003832151753209427
transitive,abyōxtan,2,0.00019160758766047136
transitive,āzārīd,2,0.00019160758766047136
transitive,bištan,14,0.0013412531136232995
transitive,paristīdan,7,0.0006706265568116498
transitive,brēhēnīdan,226,0.021651657405633264
transitive,widārēnīdan,2,0.00019160758766047136
transitive,dānistan,78,0.007472695918758382
transitive,nixwārdan,2,0.00019160758766047136
transitive,ulwāzīdan,2,0.00019160758766047136
transitive,andar hištan|hištan,3,0.00028741138149070703
transitive,zadan,113,0.010825828702816632
transitive,hangārdan,13,0.0012454493197930638
transitive,kōxšīdan,20,0.0019160758766047135
transitive,abgandan,52,0.004981797279172255
transitive,tāšīdan,4,0.0003832151753209427
transitive,ārāstan,16,0.001532860701283771
transitive,āhaftan,2,0.00019160758766047136
transitive,frēftan,7,0.0006706265568116498
transitive,sāxtan,6,0.0005748227629814141
transitive,ēstēnīdan,4,0.0003832151753209427
transitive,baxtan,18,0.0017244682889442423
transitive,abespurdan,33,0.0031615251963977775
transitive,kirrēnīdan,40,0.003832151753209427
transitive,agārēnīdan,7,0.0006706265568116498
transitive,āmurzīdan,3,0.00028741138149070703
transitive,sārēnīdan,5,0.00047901896915117836
transitive,srawēnīdan,2,0.00019160758766047136
transitive,zādan,142,0.013604138723893466
transitive,bōxt,25,0.002395094845755892
transitive,xwēšēnīdan,23,0.0022034872580954205
transitive,burdan|namāz burdan,2,0.00019160758766047136
transitive,tarsīdan,10,0.0009580379383023567
transitive,nimūd,16,0.001532860701283771
transitive,xwardan,99,0.009484575589193332
transitive,šustan,80,0.007664303506418854
transitive,burdan,151,0.014466372868365588
transitive,abrāstan,1,9.580379383023568e-05
transitive,kandan,26,0.0024908986395861276
transitive,dawīdan1,16,0.001532860701283771
transitive,tuxšīdan,3,0.00028741138149070703
transitive,wizārēnīdan,1,9.580379383023568e-05
transitive,menīdan,68,0.006514657980456026
transitive,wizōstan,5,0.00047901896915117836
transitive,kirdan|yazišn kirdan,2,0.00019160758766047136
transitive,handōxtan,10,0.0009580379383023567
transitive,kirdan|padīriftārīh kirdan,1,9.580379383023568e-05
transitive,bastan,25,0.002395094845755892
transitive,stadan,50,0.004790189691511784
transitive,ayāstan,1,9.580379383023568e-05
transitive,kirdan|passox kirdan,66,0.006323050392795555
transitive,ayāsīdan,1,9.580379383023568e-05
transitive,wišūdan,3,0.00028741138149070703
transitive,kirdan|paymān kirdan,9,0.0008622341444721211
transitive,wardēnīdan,9,0.0008622341444721211
transitive,padīriftan,150,0.014370569074535352
transitive,dīdan|pad xwēš čašm dīdan,1,9.580379383023568e-05
transitive,nihuftan,8,0.0007664303506418854
transitive,ōzadan,75,0.007185284537267676
transitive,kirdan|pargandag kirdan,1,9.580379383023568e-05
transitive,āfrīdan,8,0.0007664303506418854
transitive,windādan,19,0.001820272082774478
transitive,drāyistan,62,0.005939835217474612
transitive,čāštan,98,0.009388771795363097
transitive,ōsāndan,1,9.580379383023568e-05
transitive,yaštan,15,0.0014370569074535352
transitive,āwurdan,76,0.007281088331097912
transitive,winnārdan,34,0.003257328990228013
transitive,bē kirdan|kirdan,4,0.0003832151753209427
transitive,wattardād,1,9.580379383023568e-05
transitive,wišādan,19,0.001820272082774478
transitive,frahixtan,4,0.0003832151753209427
transitive,brīdan,22,0.002107683464265185
transitive,wānīdan,21,0.002011879670434949
transitive,āwištan,30,0.0028741138149070704
transitive,frēstīdan,35,0.003353132784058249
transitive,nihādan,76,0.007281088331097912
transitive,winastan,7,0.0006706265568116498
transitive,hambastan1,2,0.00019160758766047136
transitive,ēraxtan1,3,0.00028741138149070703
transitive,āgāhēnīdan,11,0.0010538417321325924
transitive,waxšēnīdan,30,0.0028741138149070704
transitive,wizārdan1,43,0.004119563134700134
transitive,parward,1,9.580379383023568e-05
transitive,hāxtan,9,0.0008622341444721211
transitive,abrōxtan,6,0.0005748227629814141
transitive,paywandfrahixt,1,9.580379383023568e-05
transitive,čihrēnīdan,3,0.00028741138149070703
transitive,ānāftan,13,0.0012454493197930638
transitive,šnāxtan,13,0.0012454493197930638
transitive,frazānagīhpēsīd,1,9.580379383023568e-05
transitive,purrburd,1,9.580379383023568e-05
transitive,wišuftan,30,0.0028741138149070704
transitive,hištan,145,0.013891550105384173
transitive,baxtāfrīd,5,0.00047901896915117836
transitive,kištan,14,0.0013412531136232995
transitive,niwistan,8,0.0007664303506418854
transitive,razmēraxt,2,0.00019160758766047136
transitive,razmbōxt,1,9.580379383023568e-05
transitive,dēwāndād,5,0.00047901896915117836
transitive,appurdan,14,0.0013412531136232995
transitive,raštan,1,9.580379383023568e-05
transitive,wispdānāgīhpēsīd,3,0.00028741138149070703
transitive,uzmūdan,3,0.00028741138149070703
transitive,nišānēnīdan,7,0.0006706265568116498
transitive,abundāšt,2,0.00019160758766047136
transitive,wēšbundāšt,2,0.00019160758766047136
transitive,wispfrazānagpēsīd,1,9.580379383023568e-05
transitive,widāxtan,12,0.0011496455259628281
transitive,wispfrazānagīhpēsīd,1,9.580379383023568e-05
transitive,yazdāndād,1,9.580379383023568e-05
transitive,frārāstan,26,0.0024908986395861276
transitive,druxtan,4,0.0003832151753209427
transitive,framušt,1,9.580379383023568e-05
transitive,āgāhīhpēsīd,1,9.580379383023568e-05
transitive,nigerīd,23,0.0022034872580954205
transitive,hammōxtan1,105,0.010059398352174747
transitive,drōšīdan,1,9.580379383023568e-05
transitive,āšnūdan,55,0.005269208660662962
transitive,frazāmwānīd,1,9.580379383023568e-05
transitive,mehēnīdan,7,0.0006706265568116498
transitive,xradappurd,1,9.580379383023568e-05
transitive,rasēnīdan,10,0.0009580379383023567
transitive,hamwišūd,1,9.580379383023568e-05
transitive,abēdād,1,9.580379383023568e-05
transitive,wisāndan,3,0.00028741138149070703
transitive,spōxtan,19,0.001820272082774478
transitive,hangēxtan,1,9.580379383023568e-05
transitive,ayārdād,1,9.580379383023568e-05
transitive,waštan,4,0.0003832151753209427
transitive,darrīdan,9,0.0008622341444721211
transitive,abāzgrift,1,9.580379383023568e-05
transitive,kāstan,5,0.00047901896915117836
transitive,hamēnīdan,1,9.580379383023568e-05
transitive,xwadwišuft,2,0.00019160758766047136
transitive,bundāšt,1,9.580379383023568e-05
transitive,pardaxtan,7,0.0006706265568116498
transitive,āwurdan|ō ham āwurdan,1,9.580379383023568e-05
transitive,uskārdan,16,0.001532860701283771
transitive,kirdan|ō kirdag kirdan,1,9.580379383023568e-05
transitive,frāxīh xwāstan|xwāstan,1,9.580379383023568e-05
transitive,šnāyēnīdan,11,0.0010538417321325924
transitive,bōxtan,23,0.0022034872580954205
transitive,baxšīdan,1,9.580379383023568e-05
transitive,§,8,0.0007664303506418854
transitive,guftan|nām guftan,1,9.580379383023568e-05
transitive,āmēxtan,1,9.580379383023568e-05
transitive,ēraxtan2,6,0.0005748227629814141
transitive,burzīdan,5,0.00047901896915117836
transitive,wināhīdan,7,0.0006706265568116498
transitive,ēraxt,17,0.0016286644951140066
transitive,duzzīdan,3,0.00028741138149070703
transitive,čīdan1,12,0.0011496455259628281
transitive,handēšīdan,11,0.0010538417321325924
transitive,taftan,4,0.0003832151753209427
transitive,mēnōywišuft,1,9.580379383023568e-05
transitive,āzardan,1,9.580379383023568e-05
transitive,zastan,2,0.00019160758766047136
transitive,srūdan,8,0.0007664303506418854
transitive,frāxwēnīdan,3,0.00028741138149070703
transitive,wālēnīdan,1,9.580379383023568e-05
transitive,dardēnīdan,1,9.580379383023568e-05
transitive,stardēnīdan,1,9.580379383023568e-05
transitive,āsānēnīdan,1,9.580379383023568e-05
transitive,āhuftan,1,9.580379383023568e-05
transitive,pargandan,5,0.00047901896915117836
transitive,ābādēnīdan,2,0.00019160758766047136
transitive,pērōzēnīdan,1,9.580379383023568e-05
transitive,bīmēnīdan,1,9.580379383023568e-05
transitive,pazdēnīdan,1,9.580379383023568e-05
transitive,hammōxtan2,1,9.580379383023568e-05
transitive,dēsīdan,2,0.00019160758766047136
transitive,āyōxtan,4,0.0003832151753209427
transitive,widārdan,10,0.0009580379383023567
transitive,abgandan|pad menišn abgandan,1,9.580379383023568e-05
transitive,pahikārīdan,4,0.0003832151753209427
transitive,wihānagēnīdan,1,9.580379383023568e-05
transitive,raftēnīdan,1,9.580379383023568e-05
transitive,guftan|passox guftan,1,9.580379383023568e-05
transitive,burdan|paydāg burdan,1,9.580379383023568e-05
transitive,ǰūdan,11,0.0010538417321325924
transitive,hampursīdan,4,0.0003832151753209427
transitive,kaftan,1,9.580379383023568e-05
transitive,drūdan,5,0.00047901896915117836
transitive,burdan|frōd burdan,1,9.580379383023568e-05
transitive,rawēnīdan,4,0.0003832151753209427
transitive,dōsīdan,1,9.580379383023568e-05
transitive,ǰōyīdan,8,0.0007664303506418854
transitive,gumēxtan,35,0.003353132784058249
transitive,xrōstan,4,0.0003832151753209427
transitive,xrōsīdan,1,9.580379383023568e-05
transitive,burdan|gōwišn burdan,2,0.00019160758766047136
transitive,pēšdād,1,9.580379383023568e-05
transitive,ānīdan,7,0.0006706265568116498
transitive,abddīd,1,9.580379383023568e-05
transitive,wāzīdan,6,0.0005748227629814141
transitive,aš burdan|burdan,4,0.0003832151753209427
transitive,āšixtan,5,0.00047901896915117836
transitive,wēxtan,2,0.00019160758766047136
transitive,nīdan,4,0.0003832151753209427
transitive,kešīdan,1,9.580379383023568e-05
transitive,garzīdan,15,0.0014370569074535352
transitive,xwārēnīdan,8,0.0007664303506418854
transitive,azabarnibišt,3,0.00028741138149070703
transitive,hištan|šusr frāz hištan,2,0.00019160758766047136
transitive,hambāstan,3,0.00028741138149070703
transitive,ōgārdan,2,0.00019160758766047136
transitive,anaybyāstdād,1,9.580379383023568e-05
transitive,baγdād,1,9.580379383023568e-05
transitive,kuštan,22,0.002107683464265185
transitive,rāmēnīdan,7,0.0006706265568116498
transitive,tāftan,4,0.0003832151753209427
transitive,zarrēnpēsīd,1,9.580379383023568e-05
transitive,muštan,18,0.0017244682889442423
transitive,wistan,4,0.0003832151753209427
transitive,kāmagēnīdan,1,9.580379383023568e-05
transitive,wiyābānēnīdan,5,0.00047901896915117836
transitive,kāhēnīdan,1,9.580379383023568e-05
transitive,xwastan,9,0.0008622341444721211
transitive,xradhammōxt,1,9.580379383023568e-05
transitive,dastwarēnīdan,1,9.580379383023568e-05
transitive,dēnrawāgēnīd,1,9.580379383023568e-05
transitive,tarmenīdan,4,0.0003832151753209427
transitive,dādan|frāz dādan,16,0.001532860701283771
transitive,škastan,8,0.0007664303506418854
transitive,burdan|padist abar burdan|padist burdan,6,0.0005748227629814141
transitive,paymōxtan,12,0.0011496455259628281
transitive,gumārdan,47,0.004502778310021077
transitive,griftan|pad kōxšišn frāz griftan,2,0.00019160758766047136
transitive,bōsīdan,3,0.00028741138149070703
transitive,āhixtan,10,0.0009580379383023567
transitive,suftan,4,0.0003832151753209427
transitive,āhōgēnīdan,14,0.0013412531136232995
transitive,hištan|sālārīh bē hištan,3,0.00028741138149070703
transitive,pādīrānīdan,3,0.00028741138149070703
transitive,tazēnīdan,7,0.0006706265568116498
transitive,tābēnīdan,2,0.00019160758766047136
transitive,karrēnīdan,2,0.00019160758766047136
transitive,nišāstan,35,0.003353132784058249
transitive,zandīdan,3,0.00028741138149070703
transitive,tāzēnīdan,4,0.0003832151753209427
transitive,kōstan,7,0.0006706265568116498
transitive,wārēnīdan,3,0.00028741138149070703
transitive,pālūdan,5,0.00047901896915117836
transitive,andar kirdan|kirdan,5,0.00047901896915117836
transitive,burdan|ō ham burdan,6,0.0005748227629814141
transitive,nihādan|nām nihādan,6,0.0005748227629814141
transitive,stōwēnīdan,3,0.00028741138149070703
transitive,abgandan|ō ēk abgandan,2,0.00019160758766047136
transitive,spurdan,4,0.0003832151753209427
