File,Transitivity,Count,Ratio
AOD-K20_mptf.conllu,transitive,64,0.5871559633027523
AOD-K20_mptf.conllu,intransitive,45,0.41284403669724773
Col-J2_mptf.conllu,transitive,3,0.6
Col-J2_mptf.conllu,intransitive,2,0.4
Col-K20-1_mptf.conllu,intransitive,2,1.0
Col-K43a-2_mptf.conllu,intransitive,3,0.75
Col-K43a-2_mptf.conllu,transitive,1,0.25
Col-K5-1_mptf.conllu,transitive,3,1.0
Col-K7b-1_mptf.conllu,intransitive,2,0.6666666666666666
Col-K7b-1_mptf.conllu,transitive,1,0.3333333333333333
Col-K7b-2_mptf.conllu,intransitive,1,0.14285714285714285
Col-K7b-2_mptf.conllu,transitive,6,0.8571428571428571
Col-TD1-1_mptf.conllu,transitive,7,0.875
Col-TD1-1_mptf.conllu,intransitive,1,0.125
Col-TD2-1_mptf.conllu,intransitive,1,1.0
Col-TD2-2_mptf.conllu,transitive,2,1.0
DD-K35_mptf.conllu,intransitive,547,0.4870881567230632
DD-K35_mptf.conllu,transitive,576,0.5129118432769367
DD-TD4a_mptf.conllu,intransitive,535,0.487693710118505
DD-TD4a_mptf.conllu,transitive,562,0.512306289881495
DMX-K43a_mptf.conllu,intransitive,230,0.3207810320781032
DMX-K43a_mptf.conllu,transitive,487,0.6792189679218968
DMX-L19_mptf.conllu,transitive,175,0.6628787878787878
DMX-L19_mptf.conllu,intransitive,89,0.3371212121212121
Dk3-B_mptf.conllu,transitive,1343,0.6226240148354195
Dk3-B_mptf.conllu,intransitive,814,0.37737598516458043
Dk4-B_mptf.conllu,intransitive,49,0.22897196261682243
Dk4-B_mptf.conllu,transitive,165,0.7710280373831776
Dk5-B_mptf.conllu,intransitive,157,0.5946969696969697
Dk5-B_mptf.conllu,transitive,107,0.4053030303030303
Dk6-B_mptf.conllu,transitive,1666,0.7190332326283988
Dk6-B_mptf.conllu,intransitive,651,0.2809667673716012
Dk7-B_mptf.conllu,intransitive,449,0.3177636234961076
Dk7-B_mptf.conllu,transitive,964,0.6822363765038925
Dk9-B_mptf.conllu,intransitive,390,0.1867816091954023
Dk9-B_mptf.conllu,transitive,1698,0.8132183908045977
GA-K20_mptf.conllu,transitive,119,0.7083333333333334
GA-K20_mptf.conllu,intransitive,49,0.2916666666666667
GBd-DH_mptf.conllu,transitive,1564,0.6076146076146076
GBd-DH_mptf.conllu,intransitive,1010,0.3923853923853924
GBd-TD1_mptf.conllu,transitive,2075,0.604075691411936
GBd-TD1_mptf.conllu,intransitive,1360,0.39592430858806404
GBd-TD2_mptf.conllu,transitive,2059,0.603635297566696
GBd-TD2_mptf.conllu,intransitive,1352,0.396364702433304
H-HJ_mptf.conllu,intransitive,146,0.35436893203883496
H-HJ_mptf.conllu,transitive,266,0.6456310679611651
MHD-MHDC_mptf.conllu,transitive,2939,0.6838064215914379
MHD-MHDC_mptf.conllu,intransitive,1359,0.3161935784085621
MYF-K20_mptf.conllu,transitive,230,0.6552706552706553
MYF-K20_mptf.conllu,intransitive,121,0.34472934472934474
N-HJ_mptf.conllu,transitive,1505,0.5731150038080731
N-HJ_mptf.conllu,intransitive,1121,0.4268849961919269
NM-K35_mptf.conllu,transitive,601,0.7180406212664278
NM-K35_mptf.conllu,intransitive,236,0.2819593787335723
NM-TD4a_mptf.conllu,transitive,587,0.7141119221411192
NM-TD4a_mptf.conllu,intransitive,235,0.28588807785888076
P-TD2_mptf.conllu,transitive,302,0.727710843373494
P-TD2_mptf.conllu,intransitive,113,0.27228915662650605
PVr-K7a_mptf.conllu,intransitive,50,0.1466275659824047
PVr-K7a_mptf.conllu,transitive,291,0.8533724340175953
PY-Pt4_mptf.conllu,transitive,3343,0.7799813345776948
PY-Pt4_mptf.conllu,intransitive,943,0.2200186654223052
PYextr-K7a_mptf.conllu,transitive,12,0.8
PYextr-K7a_mptf.conllu,intransitive,3,0.2
RThQA-TD2_mptf.conllu,intransitive,83,0.5496688741721855
RThQA-TD2_mptf.conllu,transitive,68,0.4503311258278146
RĀF-TD2_mptf.conllu,intransitive,615,0.5091059602649006
RĀF-TD2_mptf.conllu,transitive,593,0.4908940397350993
WZ_K35.conllu,transitive,437,0.5428571428571428
WZ_K35.conllu,intransitive,368,0.45714285714285713
WZ_TD4a.conllu,transitive,748,0.5119780971937029
WZ_TD4a.conllu,intransitive,713,0.48802190280629704
ZPJ̌-TD2_mptf.conllu,intransitive,1162,0.3955071477195371
ZPJ̌-TD2_mptf.conllu,transitive,1776,0.6044928522804629
ZWY-K20_mptf.conllu,transitive,328,0.5878136200716846
ZWY-K20_mptf.conllu,intransitive,230,0.4121863799283154
ZWY-K43a_mptf.conllu,transitive,251,0.5961995249406176
ZWY-K43a_mptf.conllu,intransitive,170,0.40380047505938244
ŠnŠ-K20_mptf.conllu,intransitive,440,0.350597609561753
ŠnŠ-K20_mptf.conllu,transitive,815,0.649402390438247
