File,SentenceID,ClauseType,HeadLemma,Aux_Head,HeadUPOS,ConjLemma,ConjForm,Aux_Conj
AOD-K20_mptf.conllu,s52,root,nē,-,PART,guftan,guftan,-
AOD-K20_mptf.conllu,s59,csubj,pašēmān,būdan,ADJ,kirdan,kirdan,-
AOD-K20_mptf.conllu,s69,acl:relcl,abēgumān,-,ADJ,dāštan,dārēd,-
DD-K35_mptf.conllu,s12,acl:relcl,kāmag,-,ADJ,framūdan,framūd,-
DD-K35_mptf.conllu,s37,advcl,hušōn,-,ADJ,šāyistan,šāyēd,-
DD-K35_mptf.conllu,s71,advcl,spurrīg,-,ADJ,gōwīhistan,gōwīhēd,-
DD-K35_mptf.conllu,s116,advcl,ǰahišnīg,-,ADJ,bištan,bēšēnd,-
DD-K35_mptf.conllu,s202,parataxis,abyōxtag,-,ADJ,dīdan,wēnēd,-
DD-K35_mptf.conllu,s231,acl:relcl,dasthammōg,hēnd,ADJ,nīdan,nayēnd,-
DMX-K43a_mptf.conllu,s674,acl:relcl,weh,-,NOUN,burdan|nām burdan,barēnd,-
DMX-L19_mptf.conllu,s54,root,tandruyist,-,ADJ,būdan,bawēd,-
DMX-L19_mptf.conllu,s167,acl:relcl,hursand,-,ADJ,burdan,barēd,-
DMX-L19_mptf.conllu,s168,acl:relcl,hursand,-,ADJ,handēšīdan,handēšēd,-
DMX-L19_mptf.conllu,unknown,ccomp,āgāh,bāš,ADJ,dānistan,dān,-
DMX-L19_mptf.conllu,s212,xcomp,framānburdār,būdan,ADJ,kirdan|paristišn kirdan,kirdan,-
Dk5-B_mptf.conllu,s3,root,pēšōbāy,būd,NOUN,xwānīhistan,xwānīhēd,-
Dk5-B_mptf.conllu,s36,acl:relcl,paydāg,-,ADJ,paydāgīhistan,paydāgīhist,-
Dk5-B_mptf.conllu,s228,root,xwarrah,-,NOUN,būdan,bawē,-
Dk5-B_mptf.conllu,s254,root,rēman,-,ADJ,pahrēxtan,pahrēzišn,-
Dk7-B_mptf.conllu,s26,csubj,tō,-,PRON,dānistan,dānē,-
Dk7-B_mptf.conllu,s123,root,abāyistan,-,NOUN,abāyistan,abāyēd,-
GBd-TD1_mptf.conllu,s21,advcl,tuhīgīh,-,NOUN,paywastan,paywast,hēnd
GBd-TD1_mptf.conllu,s47,xcomp,ačārag,-,ADJ,dāštan,dārēd,-
GBd-TD1_mptf.conllu,s386,root,hunsand,būd,ADJ,padīriftan,padīrift,-
GBd-TD1_mptf.conllu,s463,root,xwadāy,-,NOUN,ēstādan,ēstēd,-
GBd-TD1_mptf.conllu,s466,advcl,paydāg,-,ADJ,abzūdan,abzāyēd,-
GBd-TD1_mptf.conllu,s656,root,ān,-,PRON,kirdan,kunēnd,-
GBd-TD1_mptf.conllu,s769,root,bunxān,-,NOUN,būdan,būd,-
GBd-TD1_mptf.conllu,s861,acl:relcl,abāg,bawēd,ADV,kirdan|pānagīh kirdan,kunēd,-
GBd-TD1_mptf.conllu,s868,root,ān,-,PRON,menīdan,menīd,būd
GBd-TD1_mptf.conllu,s999,acl:relcl,ōy,-,PRON,parwārdan,parwārēd,-
