ClauseType,HeadLemma,HeadUPOS,ConjLemma,ConjForm,File,SentenceID
root,nē,PART,guftan,guftan,AOD-K20_mptf.conllu,s52
csubj,pašēmān,ADJ,kirdan,kirdan,AOD-K20_mptf.conllu,s59
acl:relcl,abēgumān,ADJ,dāštan,dārēd,AOD-K20_mptf.conllu,s69
acl:relcl,kāmag,ADJ,framūdan,framūd,DD-K35_mptf.conllu,s12
advcl,hušōn,ADJ,šāyistan,šāyēd,DD-K35_mptf.conllu,s37
advcl,spurrīg,ADJ,gōwīhistan,gōwīhēd,DD-K35_mptf.conllu,s71
advcl,ǰahišnīg,ADJ,bištan,bēšēnd,DD-K35_mptf.conllu,s116
parataxis,abyōxtag,ADJ,dīdan,wēnēd,DD-K35_mptf.conllu,s202
acl:relcl,dasthammōg,ADJ,nīdan,nayēnd,DD-K35_mptf.conllu,s231
acl:relcl,weh,NOUN,burdan|nām burdan,barēnd,DMX-K43a_mptf.conllu,s674
root,tandruyist,ADJ,būdan,bawēd,DMX-L19_mptf.conllu,s54
acl:relcl,hursand,ADJ,burdan,barēd,DMX-L19_mptf.conllu,s167
acl:relcl,hursand,ADJ,handēšīdan,handēšēd,DMX-L19_mptf.conllu,s168
ccomp,āgāh,ADJ,dānistan,dān,DMX-L19_mptf.conllu,unknown
xcomp,framānburdār,ADJ,kirdan|paristišn kirdan,kirdan,DMX-L19_mptf.conllu,s212
root,pēšōbāy,NOUN,xwānīhistan,xwānīhēd,Dk5-B_mptf.conllu,s3
acl:relcl,paydāg,ADJ,paydāgīhistan,paydāgīhist,Dk5-B_mptf.conllu,s36
root,xwarrah,NOUN,būdan,bawē,Dk5-B_mptf.conllu,s228
root,rēman,ADJ,pahrēxtan,pahrēzišn,Dk5-B_mptf.conllu,s254
csubj,tō,PRON,dānistan,dānē,Dk7-B_mptf.conllu,s26
root,abāyistan,NOUN,abāyistan,abāyēd,Dk7-B_mptf.conllu,s123
advcl,tuhīgīh,NOUN,paywastan,paywast,GBd-TD1_mptf.conllu,s21
xcomp,ačārag,ADJ,dāštan,dārēd,GBd-TD1_mptf.conllu,s47
root,hunsand,ADJ,padīriftan,padīrift,GBd-TD1_mptf.conllu,s386
root,xwadāy,NOUN,ēstādan,ēstēd,GBd-TD1_mptf.conllu,s463
advcl,paydāg,ADJ,abzūdan,abzāyēd,GBd-TD1_mptf.conllu,s466
root,ān,PRON,kirdan,kunēnd,GBd-TD1_mptf.conllu,s656
root,bunxān,NOUN,būdan,būd,GBd-TD1_mptf.conllu,s769
acl:relcl,abāg,ADV,kirdan|pānagīh kirdan,kunēd,GBd-TD1_mptf.conllu,s861
root,ān,PRON,menīdan,menīd,GBd-TD1_mptf.conllu,s868
acl:relcl,ōy,PRON,parwārdan,parwārēd,GBd-TD1_mptf.conllu,s999
acl:relcl,hubōy,ADJ,būdan,bawēd,GBd-TD1_mptf.conllu,s1065
root,parwardārīh,NOUN,kirdan,kirdan,GBd-TD1_mptf.conllu,s1619
csubj,ādištag,ADJ,rasīdan,rasēd,GBd-TD1_mptf.conllu,s1636
acl:relcl,hunsand,ADJ,appurdan,apparēd,GBd-TD1_mptf.conllu,s1757
ccomp,ēwtom,ADJ,būdan,bawēd,GBd-TD1_mptf.conllu,s1957
advcl,nagīrā,NOUN,ēstādan,ēstēd,MHD-MHDC_mptf.conllu,s87
ccomp,xwēš,PRON,dāštan,dāram,MHD-MHDC_mptf.conllu,s137
ccomp,xwēš,PRON,wizāstan,wizāyēd,MHD-MHDC_mptf.conllu,s137
