File,Auxiliary,Transitivity,Phrase,Count
AOD-K20_mptf.conllu,ēstādan,transitive,gumēxtan ēstādan,1
AOD-K20_mptf.conllu,ēstādan,transitive,abgandan ēstādan,1
AOD-K20_mptf.conllu,ēstādan,transitive,āzārdan ēstādan,1
AOD-K20_mptf.conllu,ēstādan,transitive,kirdan ēstādan,1
AOD-K20_mptf.conllu,ēstādan,intransitive,madan1 ēstādan,2
DD-K35_mptf.conllu,ēstādan,intransitive,madan1 ēstādan,1
DD-K35_mptf.conllu,ēstādan,intransitive,bē šudan ēstādan,1
DD-K35_mptf.conllu,ēstādan,transitive,handāxtan ēstādan,1
DD-K35_mptf.conllu,ēstādan,transitive,dādan ēstādan,5
DD-K35_mptf.conllu,ēstādan,transitive,guftan ēstādan,5
DD-K35_mptf.conllu,ēstādan,transitive,āfurrīdan ēstādan,1
DD-K35_mptf.conllu,ēstādan,transitive,kirdan ēstādan,4
DD-K35_mptf.conllu,ēstādan,transitive,āstardan ēstādan,1
DD-K35_mptf.conllu,ēstādan,transitive,stūdan ēstādan,1
DD-K35_mptf.conllu,ēstādan,transitive,framūdan ēstādan,1
DD-K35_mptf.conllu,h-,intransitive,āmadan h-,1
DD-K35_mptf.conllu,h-,unknown,weh h-,1
DD-K35_mptf.conllu,h-,unknown,gētī h-,1
DD-K35_mptf.conllu,būdan,unknown,stāyīdār būdan,1
DD-K35_mptf.conllu,būdan,unknown,ēdōn būdan,1
DD-K35_mptf.conllu,būdan,transitive,dāštan būdan,1
DD-K35_mptf.conllu,būdan,transitive,wirāstan būdan,1
DD-K35_mptf.conllu,būdan,transitive,kirdan būdan,1
DMX-K43a_mptf.conllu,ēstādan,transitive,dādan ēstādan,2
DMX-K43a_mptf.conllu,ēstādan,transitive,guftan ēstādan,6
DMX-K43a_mptf.conllu,ēstādan,transitive,frawārdan ēstādan,1
DMX-K43a_mptf.conllu,ēstādan,transitive,kirrēnīdan ēstādan,1
DMX-K43a_mptf.conllu,ēstādan,transitive,kirdan ēstādan,5
DMX-K43a_mptf.conllu,ēstādan,transitive,baxtan ēstādan,1
